,Unnamed: 0,Unnamed: 1,PRODUCCION,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
24,1 / 1,E057 / VESPERTINO,0067036 0067578,543,1666 / 1678,,,
25,1 / 1,E079 / MATUTINO,0067579 0068208,630,1679 / 1693,,,
26,1 / 1,E079 / VESPERTINO,0068209 0068838,630,1694 / 1708,,,
27,1 / 1,E080 / MATUTINO,0068839 0069594,756,1709 / 1726,,,
28,1 / 1,E080 / VESPERTINO,0069595 0069657,63,1727 / 1728,,,
29,1 / 1,E098 / MATUTINO,0069658 0070749,1092,1729 / 1754,,,
30,1 / 1,E098 / VESPERTINO,0070750 0071841,1092,1755 / 1780,,,
31,1 / 1,E099 / MATUTINO,0071842 0071947,106,1781 / 1783,,,
32,1 / 1,E008 / MATUTINO,0071948 0072871,924,1784 / 1805,,,
33,1 / 1,E008 / VESPERTINO,0072872 0073795,924,1806 / 1827,,,
34,1 / 1,E009 / MATUTINO,0073796 0074425,630,1828 / 1842,,,
35,1 / 1,E009 / VESPERTINO,0074426 0074603,178,1843 / 1847,,,
36,1 / 1,E014 / MATUTINO,0074604 0074981,378,1848 / 1856,,,
37,1 / 1,E014 / VESPERTINO,0074982 0075359,378,1857 / 1865,,,
38,1 / 1,E092 / MATUTINO,0075360 0075779,420,1866 / 1875,,,
39,1 / 1,E092 / VESPERTINO,0075780 0076199,420,1876 / 1885,,,
40,1 / 1,E108 / MATUTINO,0076200 0076535,336,1886 / 1893,,,
41,1 / 1,E108 / VESPERTINO,0076536 0076871,336,1894 / 1901,,,
42,1 / 1,E109 / MATUTINO,0076872 0077249,378,1902 / 1910,,,
43,1 / 1,E109 / VESPERTINO,0077250 0077627,378,1911 / 1919,,,
44,1 / 1,E110 / MATUTINO,0077628 0078215,588,1920 / 1933,,,
45,1 / 1,E110 / VESPERTINO,0078216 0078803,588,1934 / 1947,,,
46,1 / 1,E111 / MATUTINO,0078804 0079433,630,1948 / 1962,,,
47,1 / 1,E111 / VESPERTINO,0079434 0080063,630,1963 / 1977,,,
48,1 / 1,E112 / MATUTINO,0080064 0080567,504,1978 / 1989,,,
49,1 / 1,E112 / VESPERTINO,0080568 0081071,504,1990 / 2001,,,
50,1 / 1,E113 / MATUTINO,0081072 0081127,56,2002 / 2003,,,
51,1 / 1,E117 / MATUTINO,0081128 0082551,1424,2004 / 2037,,,
52,1 / 1,E117 / VESPERTINO,0082552 0083979,1428,2038 / 2071,,,
53,1 / 1,E118 / MATUTINO,0083980 0084609,630,2072 / 2086,,,
54,1 / 1,E118 / VESPERTINO,0084610 0085239,630,2087 / 2101,,,
0,ENVIO,SEDE,,ENVIOS,CABECEROS,FECHA,TURNO,REVISO
1,,,INICIAL FINAL,,,,,
2,1 / 1,E119 / MATUTINO,0085240 0085701,462,2102 / 2112,,,
3,1 / 1,E119 / VESPERTINO,0085702 0085785,84,2113 / 2114,,,
